nom_pkmn,nom_pkmn_us,num_pokedex,url_image,url_cri,type_1,type_2,taille_m,poids_kg,talent_1,talent_2,talent_cache,sexe,taux_de_capture,cycle_eclosion,groupe_oeuf_1,groupe_oeuf_2,points_effort,points_exp,exp_niv100,pv,attaque,attaque_speciale,defense,defense_speciale,vitesse
Kyogre,Kyogre,0382,/images/thumb/e/e4/Kyogre-RS.png/250px-Kyogre-RS.png,/images/5/57/Cri_0382_HOME.ogg,Eau,,"4,5","352,0",Crachin,,,Asexué,5,120,Inconnu,,+3 Att. Spé,218 exp.,1 250 000 exp.,100,100,90,90,140,90
Méga-Latios,Mega Latios,0381,/images/thumb/0/0b/M%C3%A9ga-Latios-ROSA.png/250px-M%C3%A9ga-Latios-ROSA.png,/images/a/a5/Cri_0381_M%C3%A9ga_HOME.ogg,Dragon,Psy,"2,3","70,0",Lévitation,,,0 % femelle; 100 % mâle,,,,,,,,80,130,100,100,120,110
Latios,Latios,0381,/images/thumb/f/fa/Latios-RS.png/250px-Latios-RS.png,/images/f/f1/Cri_0381_HOME.ogg,Dragon,Psy,"2,0","60,0",Lévitation,,,0 % femelle; 100 % mâle,3,120,Inconnu,,+3 Att. Spé,211 exp.,1 250 000 exp.,80,90,80,80,110,110
Élekable,Electivire,0466,/images/thumb/b/b0/%C3%89lekable-DEPS.png/250px-%C3%89lekable-DEPS.png,/images/7/75/Cri_0466_HOME.ogg,Électrik,,"1,8","138,6",Motorisé,,Esprit Vital,25 % femelle; 75 % mâle,30,25,Humanoïde,,+3 Att.,199 exp.,1 000 000 exp.,75,123,67,67,85,95
Bouldeneu,Tangrowth,0465,/images/thumb/7/75/Bouldeneu-DP.png/250px-Bouldeneu-DP.png,/images/b/bd/Cri_0465_HOME.ogg,Plante,,"2,0","128,6",Chlorophylle,Feuille Garde,Régé-Force,50 % femelle; 50 % mâle,30,20,Végétal,,+2 Déf.,211 exp.,1 000 000 exp.,100,100,125,125,50,50
Fragilady,Lilligant,0549,/images/thumb/3/32/Fragilady-NB.png/250px-Fragilady-NB.png,/images/0/0f/Cri_0549_HOME.ogg,Plante,,"1,1","16,3",Chlorophylle,Tempo Perso,Feuille Garde,100 % femelle; 0 % mâle,75,20,Végétal,,+2 Att. Spé,168 exp.,1 000 000 exp.,70,60,75,75,75,90
Chlorobule,Petilil,0548,/images/thumb/c/c6/Chlorobule-NB.png/250px-Chlorobule-NB.png,/images/a/a2/Cri_0548_HOME.ogg,Plante,,"0,5","6,6",Chlorophylle,Tempo Perso,Feuille Garde,100 % femelle; 0 % mâle,190,20,Végétal,,+1 Att. Spé,56 exp.,1 000 000 exp.,45,35,50,50,50,30
Farfaduvet,Whimsicott,0547,/images/thumb/f/f1/Farfaduvet-NB.png/250px-Farfaduvet-NB.png,/images/f/fe/Cri_0547_HOME.ogg,Plante,Fée,"0,7","6,6",Farceur,Infiltration,Chlorophylle,50 % femelle; 50 % mâle,75,20,Végétal,Féerique,+2 Vit.,168 exp.,1 000 000 exp.,60,67,85,85,75,116
Doudouvet,Cottonee,0546,/images/thumb/8/8b/Doudouvet-NB.png/250px-Doudouvet-NB.png,/images/7/75/Cri_0546_HOME.ogg,Plante,Fée,"0,3","0,6",Farceur,Infiltration,Chlorophylle,50 % femelle; 50 % mâle,190,20,Végétal,Féerique,+1 Vit.,56 exp.,1 000 000 exp.,40,27,60,60,50,66
Brutapode,Scolipede,0545,/images/thumb/f/f1/Brutapode-NB.png/250px-Brutapode-NB.png,/images/5/56/Cri_0545_HOME.ogg,Insecte,Poison,"2,5","200,5",,,,50 % femelle; 50 % mâle,45,20,Insectoïde,,+3 Vit.,214 exp.,1 059 860 exp.,60,100,89,89,69,112
Scobolide,Whirlipede,0544,/images/thumb/0/0f/Scobolide-NB.png/250px-Scobolide-NB.png,/images/2/26/Cri_0544_HOME.ogg,Insecte,Poison,"1,2","58,5",Point Poison,Essaim,Turbo,50 % femelle; 50 % mâle,120,15,Insectoïde,,+2 Déf.,126 exp.,1 059 860 exp.,40,55,99,99,79,47
Boréas,Tornadus,0641,/images/thumb/1/1b/Bor%C3%A9as_%28Forme_Avatar%29-NB.png/250px-Bor%C3%A9as_%28Forme_Avatar%29-NB.png,/images/6/62/Cri_0641_HOME.ogg,Vol,,,"63,0",,,,0 % femelle; 100 % mâle,3,120,Inconnu,,+3 Att. Spé,261 exp.,1 250 000 exp.,79,115,70,70,80,111
Viridium,Virizion,0640,/images/thumb/d/d1/Viridium-NB.png/250px-Viridium-NB.png,/images/5/55/Cri_0640_HOME.ogg,Plante,Combat,"2,0","200,0",Cœur Noble,,,Asexué,3,80,Inconnu,,+3 Déf. Spé,261 exp.,1 250 000 exp.,91,90,72,72,129,108
Terrakium,Terrakion,0639,/images/thumb/6/66/Terrakium-NB.png/250px-Terrakium-NB.png,/images/2/25/Cri_0639_HOME.ogg,Roche,Combat,"1,9","260,0",Cœur Noble,,,Asexué,3,80,Inconnu,,+3 Att.,261 exp.,1 250 000 exp.,91,129,90,90,90,108
Mucuscule,Goomy,0704,/images/thumb/a/a6/Mucuscule-XY.png/250px-Mucuscule-XY.png,/images/b/be/Cri_0704_HOME.ogg,Dragon,,"0,3","2,8",Herbivore,Hydratation,Poisseux,50 % femelle; 50 % mâle,45,40,Draconique,,+1 Déf. Spé,—,1 250 000 exp.,45,50,35,35,75,40
Strassie,Carbink,0703,/images/thumb/5/51/Strassie-XY.png/250px-Strassie-XY.png,/images/8/83/Cri_0703_HOME.ogg,Roche,Fée,"0,3","5,7",Corps Sain,,Fermeté,Asexué,30,25,Féerique,Minéral,+1 Déf. ; +1 Déf. Spé,—,1 250 000 exp.,50,50,150,150,150,50
Dedenne,Dedenne,0702,/images/thumb/7/75/Dedenne-XY.png/250px-Dedenne-XY.png,/images/d/d8/Cri_0702_HOME.ogg,Électrik,Fée,"0,2","2,2",Ramassage,Bajoues,Plus,50 % femelle; 50 % mâle,200,20,Terrestre,Féerique,+2 Vit.,—,1 000 000 exp.,67,58,57,57,67,101
Brutalibré,Hawlucha,0701,/images/thumb/a/a8/Brutalibr%C3%A9-XY.png/250px-Brutalibr%C3%A9-XY.png,/images/4/45/Cri_0701_HOME.ogg,Combat,Vol,"0,8","21,5",Échauffement,Délestage,Brise Moule,50 % femelle; 50 % mâle,100,20,Humanoïde,Aérien,+2 Att.,—,1 000 000 exp.,78,92,75,75,63,118
Nymphali,Sylveon,0700,/images/thumb/8/83/Nymphali-XY.png/250px-Nymphali-XY.png,/images/9/98/Cri_0700_HOME.ogg,Fée,,"1,0","23,5",Joli Sourire,,Peau Féérique,12.5 % femelle; 87.5 % mâle,45,35,Terrestre,,+2 Déf. Spé,—,1 000 000 exp.,95,65,65,65,130,60
Silvallié,Silvally,0773,/images/thumb/e/e1/Silvalli%C3%A9-SL.png/250px-Silvalli%C3%A9-SL.png,/images/8/87/Cri_0773_HOME.ogg,Normal,,"2,3","100,5",Système Alpha,,,Asexué,3,120,Inconnu,,+3 PV,257 exp. (114,1 250 000 exp.,95,95,95,95,95,95
Dratatin,Appletun,0842,/images/thumb/1/1c/Dratatin-EB.png/250px-Dratatin-EB.png,/images/a/ae/Cri_0842_HOME.ogg,Plante,Dragon,"0,4","13,0",Mûrissement,Gloutonnerie,Isograisse,50 % femelle; 50 % mâle,45,20,Végétal,Draconique,+2 PV,170 exp.,600 000 exp.,110,85,80,80,80,30
Pomdrapi Gigamax,Gigantamax Flapple,0841,/images/thumb/c/c4/Pomdrapi_%28Gigamax%29-EB.png/250px-Pomdrapi_%28Gigamax%29-EB.png,/images/0/0c/Cri_0841_Gigamax_HOME.ogg,Plante,Dragon,"24,0","???,?",Mûrissement,Gloutonnerie,Agitation,50 % femelle; 50 % mâle,,,,,,,,,,,,,
Pomdrapi,Flapple,0841,/images/thumb/6/66/Pomdrapi-EB.png/250px-Pomdrapi-EB.png,/images/e/e3/Cri_0841_HOME.ogg,Plante,Dragon,"0,3","1,0",Mûrissement,Gloutonnerie,Agitation,50 % femelle; 50 % mâle,45,20,Végétal,Draconique,+2 Attaque,170 exp.,600 000 exp.,70,110,80,80,60,70
Verpom,Applin,0840,/images/thumb/2/2d/Verpom-EB.png/250px-Verpom-EB.png,/images/c/c0/Cri_0840_HOME.ogg,Plante,Dragon,"0,2","0,5",Mûrissement,Gloutonnerie,Pare-Balles,50 % femelle; 50 % mâle,255,20,Végétal,Draconique,+1 Défense,52 exp.,600 000 exp.,40,40,80,80,40,20
Monthracite Gigamax,Gigantamax Coalossal,0839,/images/thumb/a/ab/Monthracite_%28Gigamax%29-EB.png/250px-Monthracite_%28Gigamax%29-EB.png,/images/5/5d/Cri_0839_Gigamax_HOME.ogg,Roche,Feu,"42,0","???,?",Turbine,Corps Ardent,Torche,50 % femelle; 50 % mâle,,,,,,,,,,,,,
Monthracite,Coalossal,0839,/images/thumb/f/f0/Monthracite-EB.png/250px-Monthracite-EB.png,/images/3/35/Cri_0839_HOME.ogg,Roche,Feu,"2,8","310,5",Turbine,Corps Ardent,Torche,50 % femelle; 50 % mâle,45,15,Minéral,,+3 Défense,255 exp.,1 059 862 exp.,110,80,120,120,90,30
Wagomine,Carkol,0838,/images/thumb/1/15/Wagomine-EB.png/250px-Wagomine-EB.png,/images/e/e4/Cri_0838_HOME.ogg,Roche,Feu,"1,1","78,0",Turbine,Corps Ardent,Torche,50 % femelle; 50 % mâle,120,15,Minéral,,+2 Défense,144 exp.,1 059 862 exp.,80,60,90,90,70,50
Charbi,Rolycoly,0837,/images/thumb/8/8d/Charbi-EB.png/250px-Charbi-EB.png,/images/e/e2/Cri_0837_HOME.ogg,Roche,,"0,3","12,0",Turbine,Ignifugé,Torche,50 % femelle; 50 % mâle,255,15,Minéral,,+1 Défense,48 exp.,1 059 862 exp.,30,40,50,50,50,30
Shifours Gigamax,Gigantamax Urshifu,0892,/images/thumb/b/be/Shifours_Gigamax_%28Style_Mille_Poings%29-EB.png/250px-Shifours_Gigamax_%28Style_Mille_Poings%29-EB.png,/images/f/f1/Cri_0892_Gigamax_Poing_Final_HOME.ogg,Bipède,,,"???,?",Poing Invisible,,,12.5 % femelle; 87.5 % mâle,,,,,,,,,,,,,
Shifours,Urshifu,0892,/images/thumb/a/ac/Shifours_%28Style_Mille_Poings%29-EB.png/250px-Shifours_%28Style_Mille_Poings%29-EB.png,/images/3/3d/Cri_0892_Poing_Final_HOME.ogg,Bipède,,"1,9","105,0",Poing Invisible,,,12.5 % femelle; 87.5 % mâle,3,120,Inconnu,,+3 Att.,275 exp.,1 250 000 exp.,100,130,100,100,60,97
Mite-de-Fer,Iron Moth,0994,/images/thumb/4/4d/Mite-de-Fer-EV.png/250px-Mite-de-Fer-EV.png,/images/5/52/Cri_0994_HOME.ogg,Feu,Poison,"1,2","36,0",Charge Quantique,,,Asexué,,,,,,,,80,70,60,60,110,110
Têtes-de-Fer,Iron Jugulis,0993,/images/thumb/0/03/T%C3%AAtes-de-Fer-EV.png/250px-T%C3%AAtes-de-Fer-EV.png,/images/6/65/Cri_0993_HOME.ogg,Ténèbres,Vol,"1,3","111,0",Charge Quantique,,,Asexué,,,,,,,,94,80,86,86,80,108
Roc-de-Fer,Iron Boulder,1022,/images/thumb/9/9a/Roc-de-Fer-EV.png/250px-Roc-de-Fer-EV.png,/images/d/dc/Cri_1022_HOME.ogg,Roche,Psy,"1,5","162,5",Charge Quantique,,,Asexué,,,,,,,,90,120,80,80,108,124
Ire-Foudre,Raging Bolt,1021,/images/thumb/2/22/Ire-Foudre-EV.png/250px-Ire-Foudre-EV.png,/images/9/9c/Cri_1021_HOME.ogg,Électrik,Dragon,"5,2","480,0",Paléosynthèse,,,Asexué,,,,,,,,125,73,91,91,89,75
Feu-Perçant,Gouging Fire,1020,/images/thumb/8/81/Feu-Per%C3%A7ant-EV.png/250px-Feu-Per%C3%A7ant-EV.png,/images/f/f2/Cri_1020_HOME.ogg,Feu,Dragon,"3,5","590,0",Paléosynthèse,,,Asexué,,,,,,,,105,115,121,121,93,91
Pomdorochi,Hydrapple,1019,/images/thumb/8/81/Pomdorochi-EV.png/250px-Pomdorochi-EV.png,/images/b/b0/Cri_1019_HOME.ogg,Plante,Dragon,"1,8","93,0",Nectar Mielleux,Régé-Force,Glu,50 % femelle; 50 % mâle,10,20,Végétal,Draconique,+3 Att. Spé.,—,600 000 exp.,106,80,110,110,80,44
Pondralugon,Archaludon,1018,/images/thumb/9/9a/Pondralugon-EV.png/250px-Pondralugon-EV.png,/images/e/e5/Cri_1018_HOME.ogg,Acier,Dragon,"2,0","60,0",Endurance,Fermeté,Nerfs d'Acier,50 % femelle; 50 % mâle,10,30,Minéral,Draconique,+3 Défense,—,1 000 000 exp.,90,105,130,130,65,85
Pêchaminus,Pecharunt,1025,/images/thumb/3/33/P%C3%AAchaminus-EV.png/250px-P%C3%AAchaminus-EV.png,/images/9/9f/Cri_1025_HOME.ogg,Poison,Spectre,"0,3","0,3",Emprise Toxique,,,Asexué,,,,,,,,88,88,160,160,88,88
Chef-de-Fer,Iron Crown,1023,/images/thumb/b/b4/Chef-de-Fer-EV.png/250px-Chef-de-Fer-EV.png,/images/6/68/Cri_1023_HOME.ogg,Acier,Psy,"1,6","156,0",Charge Quantique,,,Asexué,,,,,,,,90,72,100,100,108,98
Ogerpon,Ogerpon,1017,/images/thumb/8/82/Ogerpon_%28Masque_Turquoise%2C_masqu%C3%A9%29-EV.png/250px-Ogerpon_%28Masque_Turquoise%2C_masqu%C3%A9%29-EV.png,/images/a/a5/Cri_1017_HOME.ogg,Bipède,,"1,2","39,8",,,,100 % femelle; 0 % mâle,,,,,,,,80,120,84,84,96,110
Favianos,Fezandipiti,1016,/images/thumb/3/3b/Favianos-EV.png/250px-Favianos-EV.png,/images/b/b9/Cri_1016_HOME.ogg,Poison,Fée,"1,4","30,1",Chaîne Toxique,,Technicien,0 % femelle; 100 % mâle,,,,,,,,88,91,82,82,125,99
Fortusimia,Munkidori,1015,/images/thumb/e/eb/Fortusimia-EV.png/250px-Fortusimia-EV.png,/images/b/b0/Cri_1015_HOME.ogg,Poison,Psy,"1,0","12,2",Chaîne Toxique,,Fouille,0 % femelle; 100 % mâle,,,,,,,,88,75,66,66,90,106
Félicanis,Okidogi,1014,/images/thumb/9/96/F%C3%A9licanis-EV.png/250px-F%C3%A9licanis-EV.png,/images/4/4e/Cri_1014_HOME.ogg,Poison,Combat,"1,8","92,2",Chaîne Toxique,,Chien de Garde,0 % femelle; 100 % mâle,,,,,,,,88,128,115,115,86,80
Théffroyable,Sinistcha,1013,/images/thumb/3/37/Th%C3%A9ffroyable-EV.png/250px-Th%C3%A9ffroyable-EV.png,/images/0/0e/Cri_1013_HOME.ogg,Plante,Spectre,"0,2","2,2",Aux Petits Soins,,Ignifugé,Asexué,60,20,Minéral,Amorphe,+2 Att. Spé.,178 exp.,1 000 000 exp.,71,60,106,106,80,70
Poltchageist,Poltchageist,1012,/images/thumb/e/eb/Poltchageist-EV.png/250px-Poltchageist-EV.png,/images/f/f0/Cri_1012_HOME.ogg,Plante,Spectre,"0,1","1,1",Aux Petits Soins,,Ignifugé,Asexué,120,20,Minéral,Amorphe,+1 Att. Spé,178 exp.,1 000 000 exp.,40,45,45,45,54,50
Pomdramour,Dipplin,1011,/images/thumb/6/67/Pomdramour-EV.png/250px-Pomdramour-EV.png,/images/1/1e/Cri_1011_HOME.ogg,Plante,Dragon,"0,4","4,4",Nectar Mielleux,Gloutonnerie,Glu,50 % femelle; 50 % mâle,45,20,Végétal,Draconique,+2 Défense,170 exp.,600 000 exp.,80,80,110,110,80,40
Vert-de-Fer,Iron Leaves,1010,/images/thumb/5/58/Vert-de-Fer-EV.png/250px-Vert-de-Fer-EV.png,/images/d/d6/Cri_1010_HOME.ogg,Plante,Psy,"1,5","125,0",Charge Quantique,,,Asexué,,,,,,,,90,130,88,88,108,104
Serpente-Eau,Walking Wake,1009,/images/thumb/8/8e/Serpente-Eau-EV.png/250px-Serpente-Eau-EV.png,/images/1/10/Cri_1009_HOME.ogg,Eau,Dragon,"3,5","280,0",Paléosynthèse,,,Asexué,,,,,,,,99,83,91,91,83,109
Miraidon,Miraidon,1008,/images/thumb/4/4d/Miraidon-EV.png/250px-Miraidon-EV.png,/images/d/dd/Cri_1008_Ultime_HOME.ogg,Électrik,Dragon,"3,5","240,0",Moteur à Hadrons,,,Asexué,,,,,,,,100,85,100,100,115,135
Koraidon,Koraidon,1007,/images/thumb/9/97/Koraidon-EV.png/250px-Koraidon-EV.png,/images/2/2a/Cri_1007_Finale_HOME.ogg,Combat,Dragon,"2,5","303,0",Pouls Orichalque,,,Asexué,,,,,,,,100,135,115,115,100,135
Garde-de-Fer,Iron Valiant,1006,/images/thumb/a/a6/Garde-de-Fer-EV.png/250px-Garde-de-Fer-EV.png,/images/4/42/Cri_1006_HOME.ogg,Fée,Combat,"1,4","35,0",Charge Quantique,,,Asexué,,,,,,,,74,130,90,90,60,116
Rugit-Lune,Roaring Moon,1005,/images/thumb/f/ff/Rugit-Lune-EV.png/250px-Rugit-Lune-EV.png,/images/c/c8/Cri_1005_HOME.ogg,Dragon,Ténèbres,"2,0","380,0",Paléosynthèse,,,Asexué,,,,,,,,105,139,71,71,101,119
Yuyu,Chi-Yu,1004,/images/thumb/2/2c/Yuyu-EV.png/250px-Yuyu-EV.png,/images/e/ee/Cri_1004_HOME.ogg,Ténèbres,Feu,"0,4","4,9",Perles du Fléau,,,Asexué,,,,,,,,55,80,80,80,120,100
Dinglu,Ting-Lu,1003,/images/thumb/1/1b/Dinglu-EV.png/250px-Dinglu-EV.png,/images/2/2f/Cri_1003_HOME.ogg,Ténèbres,Sol,"2,7","699,7",Urne du Fléau,,,Asexué,,,,,,,,155,110,125,125,80,45
Baojian,Chien-Pao,1002,/images/thumb/6/6e/Baojian-EV.png/250px-Baojian-EV.png,/images/3/30/Cri_1002_HOME.ogg,Ténèbres,Glace,"1,9","152,2",Épée du Fléau,,,Asexué,,,,,,,,80,120,80,80,65,135
Chongjian,Wo-Chien,1001,/images/thumb/c/c4/Chongjian-EV.png/250px-Chongjian-EV.png,/images/b/b0/Cri_1001_HOME.ogg,Ténèbres,Plante,"1,5","74,2",Bois du Fléau,,,Asexué,,,,,,,,85,85,100,100,135,70
Gromago,Gholdengo,1000,/images/thumb/8/8c/Gromago-EV.png/250px-Gromago-EV.png,/images/0/01/Cri_1000_HOME.ogg,Acier,Spectre,"1,2","30,0",Corps en Or,,,Asexué,45,50,Inconnu,,+2 Att. Spé,275 exp.,1 250 000 exp.,87,60,95,95,91,84
Glaivodo,Baxcalibur,0998,/images/thumb/b/b5/Glaivodo-EV.png/250px-Glaivodo-EV.png,/images/0/0c/Cri_0998_HOME.ogg,Dragon,Glace,"2,1","210,0",Thermodynamique,,Corps Gel,50 % femelle; 50 % mâle,10,40,Draconique,Minéral,+3 Attaque,300 exp.,1 250 000 exp.,115,145,92,92,86,87
Cryodo,Arctibax,0997,/images/thumb/a/a4/Cryodo-EV.png/250px-Cryodo-EV.png,/images/0/0e/Cri_0997_HOME.ogg,Dragon,Glace,"0,8","30,0",Thermodynamique,,Corps Gel,50 % femelle; 50 % mâle,25,40,Draconique,Minéral,+2 Attaque,148 exp.,1 250 000 exp.,90,95,66,66,65,62
Frigodo,Frigibax,0996,/images/thumb/2/2c/Frigodo-EV.png/250px-Frigodo-EV.png,/images/5/58/Cri_0996_HOME.ogg,Dragon,Glace,"0,5","17,0",Thermodynamique,,Corps Gel,50 % femelle; 50 % mâle,45,40,Draconique,Minéral,+1 Attaque,64 exp.,1 250 000 exp.,65,75,45,45,45,55
Épine-de-Fer,Iron Thorns,0995,/images/thumb/8/8e/%C3%89pine-de-Fer-EV.png/250px-%C3%89pine-de-Fer-EV.png,/images/5/5b/Cri_0995_HOME.ogg,Roche,Électrik,"1,6","303,0",Charge Quantique,,,Asexué,,,,,,,,100,134,110,110,84,72
Paume-de-Fer,Iron Hands,0992,/images/thumb/9/9d/Paume-de-Fer-EV.png/250px-Paume-de-Fer-EV.png,/images/d/d0/Cri_0992_HOME.ogg,Combat,Électrik,"1,8","380,7",Charge Quantique,,,Asexué,,,,,,,,154,140,108,108,68,50
Hotte-de-Fer,Iron Bundle,0991,/images/thumb/8/8c/Hotte-de-Fer-EV.png/250px-Hotte-de-Fer-EV.png,/images/a/ab/Cri_0991_HOME.ogg,Glace,Eau,"0,6","11,0",Charge Quantique,,,Asexué,,,,,,,,56,80,114,114,60,136
Roue-de-Fer,Iron Treads,0990,/images/thumb/d/d7/Roue-de-Fer-EV.png/250px-Roue-de-Fer-EV.png,/images/d/da/Cri_0990_HOME.ogg,Sol,Acier,"0,9","240,0",Charge Quantique,,,Asexué,,,,,,,,90,112,120,120,70,106
Pelage-Sablé,Sandy Shocks,0989,/images/thumb/d/d5/Pelage-Sabl%C3%A9-EV.png/250px-Pelage-Sabl%C3%A9-EV.png,/images/5/52/Cri_0989_HOME.ogg,Électrik,Sol,"2,3","60,0",Paléosynthèse,,,Asexué,,,,,,,,85,81,97,97,85,101
Rampe-Ailes,Slither Wing,0988,/images/thumb/e/ee/Rampe-Ailes-EV.png/250px-Rampe-Ailes-EV.png,/images/c/c8/Cri_0988_HOME.ogg,Insecte,Combat,"3,2","92,0",Paléosynthèse,,,Asexué,,,,,,,,85,135,79,79,105,81
Flotte-Mèche,Flutter Mane,0987,/images/thumb/1/18/Flotte-M%C3%A8che-EV.png/250px-Flotte-M%C3%A8che-EV.png,/images/b/b8/Cri_0987_HOME.ogg,Spectre,Fée,"1,4","4,0",Paléosynthèse,,,Asexué,,,,,,,,55,55,55,55,135,135
Fongus-Furie,Brute Bonnet,0986,/images/thumb/3/3b/Fongus-Furie-EV.png/250px-Fongus-Furie-EV.png,/images/5/58/Cri_0986_HOME.ogg,Plante,Ténèbres,"1,2","21,0",Paléosynthèse,,,Asexué,,,,,,,,111,127,99,99,99,55
Hurle-Queue,Scream Tail,0985,/images/thumb/7/75/Hurle-Queue-EV.png/250px-Hurle-Queue-EV.png,/images/a/aa/Cri_0985_HOME.ogg,Fée,Psy,"1,2","8,0",Paléosynthèse,,,Asexué,,,,,,,,115,65,99,99,115,111
Fort-Ivoire,Great Tusk,0984,/images/thumb/a/a3/Fort-Ivoire-EV.png/250px-Fort-Ivoire-EV.png,/images/8/80/Cri_0984_HOME.ogg,Sol,Combat,"2,2","320,0",Paléosynthèse,,,Asexué,,,,,,,,115,131,131,131,53,87
Scalpereur,Kingambit,0983,/images/thumb/f/f3/Scalpereur-EV.png/250px-Scalpereur-EV.png,/images/7/7f/Cri_0983_HOME.ogg,Ténèbres,Acier,"2,0","120,0",Acharné,Général Suprême,Pression,50 % femelle; 50 % mâle,25,20,Humanoïde,,+3 Attaque,275 exp.,1 000 000 exp.,100,135,120,120,85,50
Farigiraf,Farigiraf,0981,/images/thumb/e/e3/Farigiraf-EV.png/250px-Farigiraf-EV.png,/images/2/24/Cri_0981_HOME.ogg,Normal,Psy,"3,2","160,0",Ruminant,Armure Caudale,Herbivore,50 % femelle; 50 % mâle,45,20,Terrestre,,+3 PV,260 exp.,1 000 000 exp.,120,90,70,70,70,60
Terraiste,Clodsire,0980,/images/thumb/b/b8/Terraiste-EV.png/250px-Terraiste-EV.png,/images/f/f3/Cri_0980_HOME.ogg,Poison,Sol,"1,8","223,0",Absorbe-Eau,Point Poison,Inconscient,50 % femelle; 50 % mâle,90,20,Aquatique 1,Terrestre,+2 PV,151 exp.,1 000 000 exp.,130,75,60,60,100,20
